Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
600 BLOCK OF NE 78TH AVE,21-32699,Property,Montavilla,2/5/2021,0751,Vandalism,Vandalism,45.527489390,-122.583450043,2/5/2021,1
600 BLOCK OF NE 78TH AVE,21-901783,Property,Montavilla,1/26/2021,1030,Larceny Offenses,Theft From Motor Vehicle,45.527489390,-122.583450043,1/26/2021,1
600 BLOCK OF NE 87TH AVE,21-19199,Person,Montavilla,1/21/2021,1338,Assault Offenses,Simple Assault,45.527569819,-122.573542463,1/21/2021,1
600 BLOCK OF NE 87TH AVE,21-23933,Property,Montavilla,1/26/2021,1701,Larceny Offenses,Theft From Building,45.527569819,-122.573542463,1/26/2021,1
600 BLOCK OF NE 99TH AVE,21-42425,Property,Hazelwood,11/1/2020,1200,Larceny Offenses,All Other Larceny,45.527205945,-122.561897392,2/16/2021,1
600 BLOCK OF NE 101ST AVE,21-48209,Property,Hazelwood,2/21/2021,2200,Larceny Offenses,All Other Larceny,45.526597888,-122.559392854,2/22/2021,1
600 BLOCK OF NE 101ST AVE,21-64276,Property,Hazelwood,3/10/2021,0815,Larceny Offenses,Theft From Motor Vehicle,45.526597888,-122.559392854,3/10/2021,1
600 BLOCK OF NE 101ST AVE,21-64276,Property,Hazelwood,3/10/2021,0815,Vandalism,Vandalism,45.526597888,-122.559392854,3/10/2021,1
600 BLOCK OF NE 101ST AVE,21-67866,Property,Hazelwood,3/13/2021,1743,Motor Vehicle Theft,Motor Vehicle Theft,45.526597888,-122.559392854,3/13/2021,1
600 BLOCK OF NE 102ND AVE,21-42514,Property,Hazelwood,2/15/2021,0445,Burglary,Burglary,45.527170790,-122.558195815,2/16/2021,1
600 BLOCK OF NE 108TH AVE,21-903976,Property,Hazelwood,2/28/2021,0214,Vandalism,Vandalism,45.527047855,-122.551415306,3/1/2021,1
600 BLOCK OF NE 110TH AVE,21-8646,Property,Hazelwood,1/9/2021,2000,Burglary,Burglary,45.527189306,-122.549484400,1/10/2021,1
600 BLOCK OF NE 153RD AVE,21-905833,Property,Wilkes,3/22/2021,2300,Larceny Offenses,Theft From Motor Vehicle,45.527784836,-122.505309139,3/26/2021,1
600 BLOCK OF NE BEECH ST,21-903887,Property,King,2/28/2021,0050,Larceny Offenses,All Other Larceny,45.549449160,-122.659120573,2/28/2021,1
600 BLOCK OF NE BRAZEE ST,21-71841,Person,Eliot,3/17/2021,1441,Assault Offenses,Simple Assault,45.540359899,-122.659098879,3/17/2021,1
600 BLOCK OF NE BROADWAY,21-63314,Property,Eliot,3/7/2021,2100,Larceny Offenses,All Other Larceny,45.535108359,-122.659109947,3/9/2021,1
600 BLOCK OF NE COLUMBIA BLVD,21-28064,Property,Woodlawn,1/29/2021,1730,Larceny Offenses,All Other Larceny,45.580338838,-122.658721893,1/31/2021,1
600 BLOCK OF NE FLORAL PL,21-50966,Property,Laurelhurst,2/24/2021,2200,Motor Vehicle Theft,Motor Vehicle Theft,45.527593099,-122.628838181,2/25/2021,1
600 BLOCK OF NE GRAHAM ST,21-901348,Property,Eliot,1/20/2021,1330,Vandalism,Vandalism,45.542914528,-122.659082829,1/20/2021,1
600 BLOCK OF NE GRAHAM ST,21-902117,Property,Eliot,1/29/2021,2210,Larceny Offenses,All Other Larceny,45.543002335,-122.659082265,1/31/2021,1
600 BLOCK OF NE GRAND AVE,21-2977,Property,Lloyd,1/4/2021,0045,Burglary,Burglary,45.527611833,-122.660616522,1/4/2021,1
600 BLOCK OF NE GRAND AVE,21-73628,Property,Lloyd,3/12/2021,2329,Burglary,Burglary,45.527611833,-122.660616522,3/19/2021,1
600 BLOCK OF NE HOLLADAY ST,21-901189,Property,Lloyd,1/18/2021,1430,Larceny Offenses,Theft From Motor Vehicle,45.530007311,-122.659142351,1/18/2021,1
